       x            f(x)
--------------------------
  -2.000        1.457222
  -1.900        1.554720
  -1.800        1.624005
  -1.700        1.664432
  -1.600        1.675686
  -1.500        1.657790
  -1.400        1.611113
  -1.300        1.536383
  -1.200        1.434684
  -1.100        1.307464
  -1.000        1.156534
  -0.900        0.984068
  -0.800        0.792605
  -0.700        0.585043
  -0.600        0.364640
  -0.500        0.135011
  -0.400       -0.099873
  -0.300       -0.335685
  -0.200       -0.567738
  -0.100       -0.790983
   0.000       -1.000000
   0.100       -1.188983
   0.200       -1.351727
   0.300       -1.481603
   0.400       -1.571525
   0.500       -1.613916
   0.600       -1.600656
   0.700       -1.523026
   0.800       -1.371636
   0.900       -1.136338
   1.000       -0.806131
   1.100       -0.369039
   1.200        0.188023
   1.300        0.879411
   1.400        1.720931
   1.500        2.730049
   1.600        3.926131
   1.700        5.330716
   1.800        6.967823
   1.900        8.864299
   2.000       11.050220
   2.100       13.559329
   2.200       16.429540
   2.300       19.703504
   2.400       23.429234
   2.500       27.660818
   2.600       32.459215
   2.700       37.893136
   2.800       44.040047
   2.900       50.987274
   3.000       58.833251
   3.100       67.688907
   3.200       77.679219
   3.300       88.944946
   3.400      101.644563
   3.500      115.956432
   3.600      132.081205
   3.700      150.244535
   3.800      170.700075
   3.900      193.732850
   4.000      219.663008
