# Траєкторія спуску, початок (-1.0, 1.0)
  крок               x               y        Phi(x,y)
--------------------------------------------------------
     0     -1.00000000      1.00000000    5.000000e+00
     1     -1.50000000      1.50000000    3.125000e-01
     2     -1.50000000      1.25000000    3.515625e-02
     3     -1.50000000      1.31250000    4.653931e-03
     4     -1.51562500      1.29687500    4.408956e-04
     5     -1.51562500      1.30468750    5.773082e-05
     6     -1.51757812      1.30273438    1.211447e-07
     7     -1.51745605      1.30285645    4.531675e-08
     8     -1.51745605      1.30279541    1.763983e-08
     9     -1.51751709      1.30273438    1.593883e-08
    10     -1.51748657      1.30276489    1.454846e-09
    11     -1.51748657      1.30278015    2.173740e-10
    12     -1.51749039      1.30277634    1.115842e-11
    13     -1.51749039      1.30277443    9.927298e-12
    14     -1.51749039      1.30277538    3.458899e-12
    15     -1.51748991      1.30277586    3.770168e-13
    16     -1.51748991      1.30277562    2.835085e-15
    17     -1.51748991      1.30277565    1.182272e-15
    18     -1.51748991      1.30277564    2.791961e-16
    19     -1.51748992      1.30277564    2.584234e-16
    20     -1.51748991      1.30277564    1.315030e-17
    21     -1.51748991      1.30277564    4.496543e-18
    22     -1.51748991      1.30277564    2.067630e-18
    23     -1.51748991      1.30277564    1.593139e-18
    24     -1.51748991      1.30277564    1.336532e-18
    25     -1.51748991      1.30277564    5.463746e-19
    26     -1.51748991      1.30277564    7.108714e-20
    27     -1.51748991      1.30277564    5.906334e-20
    28     -1.51748991      1.30277564    5.906334e-20
